zone,inclination,orientation,irradiance
1,11,10,901
1,11,15,900
1,11,20,898
1,11,25,895
1,11,30,892
1,11,35,888
1,11,40,884
1,11,45,879
1,11,50,874
1,11,55,869
1,11,60,863
1,11,65,857
1,11,70,850
1,11,75,843
1,11,80,836
1,11,85,829
1,11,90,822
1,11,95,815
1,11,100,808
1,11,105,801
1,11,110,794
1,11,115,787
1,11,120,780
1,11,125,774
1,11,130,768
1,11,135,762
1,11,140,757
1,11,145,752
1,11,150,748
1,11,155,745
1,11,160,742
1,11,165,739
1,11,170,738
1,11,175,737
1,12,0,908
1,12,5,908
1,12,10,907
1,12,15,905
1,12,20,903
1,12,25,900
1,12,30,897
1,12,35,893
1,12,40,888
1,12,45,883
1,12,50,878
1,12,55,872
1,12,60,865
1,12,65,859
1,12,70,852
1,12,75,844
1,12,80,837
1,12,85,829
1,12,90,821
1,12,95,813
1,12,100,806
1,12,105,798
1,12,110,790
1,12,115,783
1,12,120,775
1,12,125,769
1,12,130,762
1,12,135,756
1,12,140,750
1,12,145,745
1,12,150,741
1,12,155,737
1,12,160,734
1,12,165,731
1,12,170,729
1,12,175,728
1,13,0,914
1,13,5,913
1,13,10,912
1,13,15,910
1,13,20,908
1,13,25,905
1,13,30,901
1,13,35,897
1,13,40,892
1,13,45,887
1,13,50,881
1,13,55,875
1,13,60,868
1,13,65,861
1,13,70,853
1,13,75,845
1,13,80,837
1,13,85,829
1,13,90,820
1,13,95,812
1,13,100,803
1,13,105,795
1,13,110,787
1,13,115,779
1,13,120,771
1,13,125,763
1,13,130,756
1,13,135,750
1,13,140,743
1,13,145,738
1,13,150,733
1,13,155,729
1,13,160,726
1,13,165,723
1,13,170,721
1,13,175,720
1,14,0,919
1,14,5,919
1,14,10,917
1,14,15,916
1,14,20,913
1,14,25,910
1,14,30,906
1,14,35,901
1,14,40,896
1,14,45,890
1,14,50,884
1,14,55,877
1,14,60,870
1,14,65,862
1,14,70,854
1,14,75,846
1,14,80,837
1,14,85,828
1,14,90,819
1,14,95,810
1,14,100,801
1,14,105,792
1,14,110,783
1,14,115,774
1,14,120,766
1,14,125,758
1,14,130,750
1,14,135,743
1,14,140,737
1,14,145,731
1,14,150,726
1,14,155,721
1,14,160,717
1,14,165,715
1,14,170,713
1,14,175,711
1,15,0,924
1,15,5,924
1,15,10,922
1,15,15,921
1,15,20,918
1,15,25,914
1,15,30,910
1,15,35,905
1,15,40,900
1,15,45,894
1,15,50,887
1,15,55,880
1,15,60,872
1,15,65,864
1,15,70,855
1,15,75,846
1,15,80,837
1,15,85,828
